,created_at,tweet,lang,favourites_count,retweet_count,verified,polarity,Emotion
0,2020-04-16T14:50:18Z,"""Storms do appreciate
 how “extraordinary was the ordinary”
And they never last forever. ""
-Laura Len #photography

#coronavirus #StayHome #QuedateEnCasa
@by_Mariaaa",es,1420056,35,False,Positive,Joy
1,2020-04-16T14:31:20Z,"It is nice...
 😍😍😍
""Soul mate""",tr,1352326,4,True,Positive,Joy
2,2020-04-16T15:05:03Z,"In a previous tweet I wrote that Guido Olimpio endorses the hoax, it is not correct and I apologize for it neither confirming nor excluding it. anyway read Nature # covid19 THE VIRUS? IN THE UNITED STATES THE ACCIDENT'S HYPOTHESIS IS BACK IN A LABORATORY IN WUHAN",it,1122833,3,False,Positive,Joy
3,2020-04-16T20:06:25Z,at full speed #innovation # 3D #Ferrari # covid19 #coronavirus,it,1122833,1,False,Positive,Fear
4,2020-04-16T20:45:28Z,"I hear the debate in #Piazzapulita and it seems that only in #Italy there are problems of chain of command and instead everywhere ... # covid19 Madrid, Andalucía, Castilla y León y País Vasco no aplicarán el acuerdo del Gobierno para el final de curso",es,1122833,2,False,Positive,Joy
5,2020-04-16T20:49:01Z,"In the meantime, we will see British Steel and Chinese # covid19 #coronavirus GREAT BRITAIN, ERICSSON WILL REPLACE HUAWEI IN BT'S CORE NETWORKS. AND IN ITALY GOOGLE",it,1122833,1,False,Positive,Joy
6,2020-04-16T20:52:58Z,"A plateau più basso del nostro ma siamo già has 18,000 deaths # covid19 #Coronavirus live: nearly 18,000 deaths in France, and the number of people hospitalized still decreasing",ca,1122833,1,False,Positive,Joy
7,2020-04-16T21:05:52Z,"The French phase 2 bet explained by schemes with pros and cons. material to reflect # covid19 #coronavirus When and how can we get out of our homes? The issues of ""deconfinement"" explained in diagrams",fr,1122833,0,False,Positive,Joy
8,2020-04-16T21:08:11Z,"Many more dead in France than in Italy ... # covid19 #coronavirus LIVE - Coronavirus: 753 new deaths in France, hospitalization balance drops again",fr,1122833,1,False,Positive,Fear
9,2020-04-16T21:09:36Z,"Parere di absoluta minority # Covid19 #Coronavirus: Will the epidemic go away on its own, as Professor Raoult says?",fr,1122833,0,False,Positive,Fear
10,2020-04-16T21:17:26Z,We will see it at work ... # covid19 #coronavirus THE ITALIAN APP AGAINST CORONAVIRUS WILL BE CALLED 'IMMUNE'. SHORTLY THE ....,it,1122833,0,False,Positive,Fear
11,2020-04-16T21:24:43Z,What others don't say ... # covid19 #coronavirus THE CORONAVIRUS ENTERS THE SCENE - COVID-19 REACHED THE LEGENDARY BOLSHOI: 34 PEOPLE BETWEEN ...,it,1122833,0,False,Positive,Joy
12,2020-04-16T21:26:08Z,"We'll see what happens, but there is little time to liquidate ... # covid19 #coronavirus BUT WHAT A SURPRISE: THE 'PODEROUS' COUNT LIQUIDITY INJECTION HAS ALREADY BEEN ARENATED",it,1122833,0,False,Positive,Surprise
13,2020-04-16T21:35:34Z,Vacanze all'estero improbabili ... # covid19 #coronavirus The update to the corona crisis: Summer vacation abroad is unlikely,de,1122833,1,False,Positive,Surprise
14,2020-04-16T21:37:55Z,"Here the deaths albeit slightly increase even if the accounting remains much lower than the neighbors # covid19 #coronavirus Corona-Überblick: RKI meldet sinkende Ansteckungsrate - Zahlen, Karten, Grafiken",it,1122833,0,False,Positive,Disgust
15,2020-04-16T21:41:37Z,"An act that will surely have consequences, which we will soon see ... # covid19 #coronavirus #Bolsonaro demite #Send and announce Nelson Teich para or Ministério da Saúde",pt,1122833,0,False,Positive,Fear
16,2020-04-16T21:44:56Z,"Will we be the last to come out? as far as I read no since the UK plans to extend the #Lockdown to June # covid19 #coronavirus UK lockdown measures could last until June, Raab says",it,1122833,1,False,Positive,Fear
17,2020-04-16T22:17:02Z,We will see the # Covid19 #Coronavirus plan,it,1122833,0,False,Positive,Joy
18,2020-04-16T22:18:31Z,high numbers # Covid19 #coronavirus,ro,1122833,1,False,Positive,Fear
19,2020-04-16T22:19:20Z,#Covid19 #Coronavirus,und,1122833,0,False,Positive,Fear
20,2020-04-16T22:20:12Z,Never do it yourself # covid19 #Coronavirus,it,1122833,1,False,Positive,Fear
21,2020-04-16T22:20:57Z,#Covid19 #Coronavirus,und,1122833,3,False,Positive,Fear
22,2020-04-16T22:22:09Z,Could be reinstated # covid19 #Coronavirus,it,1122833,1,False,Positive,Fear
23,2020-04-16T22:25:20Z,A crisis of tragic rest homes also in #USA # Covid19 #Coronavirus,it,1122833,3,False,Positive,Fear
24,2020-04-16T22:58:02Z,"It starts with the # Covid19 #corlronavirus tests CALL IMMUNES - The app was chosen to track contacts. ""It will be a pillar of phase 2. Testing in pilot regions""",it,1122833,2,False,Positive,Fear
25,2020-04-16T23:01:03Z,"The little stories that are big wounds # covid19 #Coronavirus What happened to ""aunt"" Xiong? (by M. Lupis)",it,1122833,0,False,Positive,Surprise
26,2020-04-16T23:02:42Z,Almost everyone talks about the wonderful American model. Allow me to have some doubts in front of these figures. # Covid19: #Coronavirus In a month 22 million Americans have applied for unemployment benefits,it,1122833,0,False,Positive,Fear
27,2020-04-16T23:03:22Z,Not justified # covid19 #Coronavirus ECONOMIC DEPARTMENT - The price of fruit has increased 40 times more than inflation,it,1122833,0,False,Positive,Fear
28,2020-04-16T23:04:43Z,Many signs and Macron also for serious economic problems very determined # Covid19 #Coronavirus Also at the Ecofin Nordic wall against Rome and Paris,it,1122833,0,False,Positive,Joy
29,2020-04-16T23:08:20Z,There are no # covid19 #Coronavirus dates,it,1122833,0,False,Positive,Fear
30,2020-04-16T23:09:59Z,It is not true that the stimulus plan check money in the #Usa has reached everyone # Covid19 #Coronavirus,it,1122833,0,False,Positive,Fear
